weights,order,c,rounding_scheme,worst_case_guarantee
nonuniform,3,0.9,simple,0.10442055115143101
nonuniform,3,0.9,simulated,0.490858421655879
uniform,3,1.0,simple,0.057999999999999996
uniform,3,1.0,simulated,0.29
nonuniform,3,1.0,simple,0.023159228506015418
nonuniform,3,1.0,simulated,0.2844281839008876
uniform,4,0.5,simple,0.45999999999999996
uniform,4,0.5,simulated,0.444
nonuniform,4,0.5,simple,0.37027350153919847
nonuniform,4,0.5,simulated,0.4119464221410779
uniform,4,0.6,simple,0.5619999999999999
uniform,4,0.6,simulated,0.5419999999999999
nonuniform,4,0.6,simple,0.34091864484349466
nonuniform,4,0.6,simulated,0.46894958143193277
uniform,4,0.6666666666666666,simple,0.466
uniform,4,0.6666666666666666,simulated,0.595
nonuniform,4,0.6666666666666666,simple,0.524829547225099
nonuniform,4,0.6666666666666666,simulated,0.5332918285429019
uniform,4,0.7,simple,0.359
uniform,4,0.7,simulated,0.6389999999999999
nonuniform,4,0.7,simple,0.4999612195099526
nonuniform,4,0.7,simulated,0.5738677734471673
uniform,4,0.75,simple,0.22499999999999998
uniform,4,0.75,simulated,0.691
nonuniform,4,0.75,simple,0.25471163188915913
nonuniform,4,0.75,simulated,0.5428977947584265
uniform,4,0.8,simple,0.146
uniform,4,0.8,simulated,0.738
nonuniform,4,0.8,simple,0.22872521281302205
nonuniform,4,0.8,simulated,0.5984644879904343
uniform,4,0.9,simple,0.04499999999999999
uniform,4,0.9,simulated,0.444
nonuniform,4,0.9,simple,0.038486549753214715
nonuniform,4,0.9,simulated,0.4661155757246293
uniform,4,1.0,simple,0.013
uniform,4,1.0,simulated,0.216
nonuniform,4,1.0,simple,0.0058570065608558606
nonuniform,4,1.0,simulated,0.12237912866761534
