rounding_scheme,r,c,effective_sample_size
simulated,0.8,0.5,2335.3520788763494
simple,0.8,0.5,893.4116666498236
simulated,0.8,0.6,1683.786949696969
simple,0.8,0.6,1409.0298912613425
simulated,0.8,0.6666666666666666,1324.0588227775354
simple,0.8,0.6666666666666666,950.9344044180918
simulated,0.8,0.7,1116.2309067725778
simple,0.8,0.7,889.743486115
simulated,0.8,0.75,818.3727114144248
simple,0.8,0.75,778.8883975062171
simulated,0.8,0.8,583.0728479615237
simple,0.8,0.8,682.4226374867227
simulated,0.8,0.9,308.30338117484513
simple,0.8,0.9,565.5745257487093
simulated,0.8,1.0,238.02279003163022
simple,0.8,1.0,493.60953477096257
20,simulated,0.8,0.5,2335.3520788763494
20,simple,0.8,0.5,893.4116666498236
20,simulated,0.8,0.6,1683.786949696969
20,simple,0.8,0.6,1409.0298912613425
20,simulated,0.8,0.6666666666666666,1324.0588227775354
20,simple,0.8,0.6666666666666666,950.9344044180918
20,simulated,0.8,0.7,1116.2309067725778
20,simple,0.8,0.7,889.743486115
20,simulated,0.8,0.75,818.3727114144248
20,simple,0.8,0.75,778.8883975062171
20,simulated,0.8,0.8,583.0728479615237
20,simple,0.8,0.8,682.4226374867227
20,simulated,0.8,0.9,308.30338117484513
20,simple,0.8,0.9,565.5745257487093
20,simulated,0.8,1.0,238.02279003163022
20,simple,0.8,1.0,493.60953477096257
20,simulated,0.8,0.5,2335.3520788763494
20,simulated,0.8,0.6,1683.786949696969
20,simulated,0.8,0.6666666666666666,1324.0588227775354
20,simulated,0.8,0.7,1116.2309067725778
20,simulated,0.8,0.75,818.3727114144248
20,simulated,0.8,0.8,583.0728479615237
20,simulated,0.8,0.9,308.30338117484513
20,simulated,0.8,1.0,238.02279003163022
