graph,r,c,rounding_scheme,worst_case_guarantee
star,0.4,0.6,simple,0.5347003425703977
star,0.4,0.6,simulated,0.5294120416513978
tree,0.4,0.6,simple,0.39438655163450287
tree,0.4,0.6,simulated,0.3599051959680649
complete,0.4,0.6,simple,0.4971570726564796
complete,0.4,0.6,simulated,0.4646250087961925
bipartite,0.4,0.6,simple,0.2494151290116638
bipartite,0.4,0.6,simulated,0.36528930958558475
star,0.4,0.6666666666666666,simple,0.5837220539743189
star,0.4,0.6666666666666666,simulated,0.6091867470873834
tree,0.4,0.6666666666666666,simple,0.332640087302443
tree,0.4,0.6666666666666666,simulated,0.4110940445342651
complete,0.4,0.6666666666666666,simple,0.44257953658464116
complete,0.4,0.6666666666666666,simulated,0.5168944796307448
bipartite,0.4,0.6666666666666666,simple,0.1772669545600737
bipartite,0.4,0.6666666666666666,simulated,0.3577144142701862
star,0.4,0.7,simple,0.6178941732990453
star,0.4,0.7,simulated,0.6430073725151652
tree,0.4,0.7,simple,0.4105926333584149
tree,0.4,0.7,simulated,0.42928241832835423
complete,0.4,0.7,simple,0.4633729272075282
complete,0.4,0.7,simulated,0.5394769579015882
bipartite,0.4,0.7,simple,0.11042523457646893
bipartite,0.4,0.7,simulated,0.39959790660245825
star,0.4,0.75,simple,0.6651904961744862
star,0.4,0.75,simulated,0.6745320228628693
tree,0.4,0.75,simple,0.37172115624868995
tree,0.4,0.75,simulated,0.40183518572573923
complete,0.4,0.75,simple,0.4954485410396467
complete,0.4,0.75,simulated,0.5892698341626482
bipartite,0.4,0.75,simple,0.004572376126219315
bipartite,0.4,0.75,simulated,0.35960467466591917
star,0.4,0.8,simple,0.7052151071518284
star,0.4,0.8,simulated,0.7128132391522233
tree,0.4,0.8,simple,0.39793570339013923
tree,0.4,0.8,simulated,0.3962213172274766
complete,0.4,0.8,simple,0.4839212844555256
complete,0.4,0.8,simulated,0.6268498904451555
bipartite,0.4,0.8,simple,3.093171396699132e-05
bipartite,0.4,0.8,simulated,0.3059299637928215
star,0.4,0.9,simple,0.8453129677580127
star,0.4,0.9,simulated,0.7753399993272467
tree,0.4,0.9,simple,0.34145462187844244
tree,0.4,0.9,simulated,0.39258884018551743
complete,0.4,0.9,simple,0.29296813029577523
complete,0.4,0.9,simulated,0.5616211060423415
bipartite,0.4,0.9,simple,0.0001576639565671031
bipartite,0.4,0.9,simulated,0.1263334432926845
star,0.4,1.0,simple,0.0
star,0.4,1.0,simulated,0.0
tree,0.4,1.0,simple,0.1302853881622326
tree,0.4,1.0,simulated,0.18301971519606372
complete,0.4,1.0,simple,0.1636561700231734
complete,0.4,1.0,simulated,0.3704919307097684
bipartite,0.4,1.0,simple,0.0016466180161733212
bipartite,0.4,1.0,simulated,0.025279727814415474
star,0.6,0.5,simple,0.4285378034731398
star,0.6,0.5,simulated,0.40230580205589817
tree,0.6,0.5,simple,0.4082684987427031
tree,0.6,0.5,simulated,0.4340522208211965
complete,0.6,0.5,simple,0.4168429823200797
complete,0.6,0.5,simulated,0.40575193172408947
bipartite,0.6,0.5,simple,0.40841966230633914
bipartite,0.6,0.5,simulated,0.34770993612212087
star,0.6,0.6,simple,0.5257116518568211
star,0.6,0.6,simulated,0.5192950885369387
tree,0.6,0.6,simple,0.48735120418001515
tree,0.6,0.6,simulated,0.4771109669080981
complete,0.6,0.6,simple,0.5465468323526652
complete,0.6,0.6,simulated,0.49166098908739553
bipartite,0.6,0.6,simple,0.3917450972780846
bipartite,0.6,0.6,simulated,0.4270813565518838
star,0.6,0.6666666666666666,simple,0.5689391666428911
star,0.6,0.6666666666666666,simulated,0.5876127017436565
tree,0.6,0.6666666666666666,simple,0.546972526583185
tree,0.6,0.6666666666666666,simulated,0.5001653275226248
complete,0.6,0.6666666666666666,simple,0.47520529693287217
complete,0.6,0.6666666666666666,simulated,0.5424548429289847
bipartite,0.6,0.6666666666666666,simple,0.22545974625574222
bipartite,0.6,0.6666666666666666,simulated,0.41485035581960744
star,0.6,0.7,simple,0.6146065227678502
star,0.6,0.7,simulated,0.6071259169698542
tree,0.6,0.7,simple,0.5536157913655494
tree,0.6,0.7,simulated,0.5160286444089792
complete,0.6,0.7,simple,0.475037577589765
complete,0.6,0.7,simulated,0.608359741432033
bipartite,0.6,0.7,simple,0.19952007529952537
bipartite,0.6,0.7,simulated,0.527998465422261
star,0.6,0.75,simple,0.6461394741250953
star,0.6,0.75,simulated,0.6767974102983414
tree,0.6,0.75,simple,0.5567026443724388
tree,0.6,0.75,simulated,0.5851904173207559
complete,0.6,0.75,simple,0.4971603880489032
complete,0.6,0.75,simulated,0.6579689697739276
bipartite,0.6,0.75,simple,0.06163913601896449
bipartite,0.6,0.75,simulated,0.4323771644212035
star,0.6,0.8,simple,0.6970622686300516
