"(0, 8)","(0, 7)","(0, 18)","(0, 9)","(0, 20)","(0, 16)","(0, 14)","(0, 1)","(0, 4)","(0, 10)","(0, 15)","(0, 5)","(0, 11)","(0, 13)","(0, 17)","(0, 6)","(0, 12)","(0, 19)","(0, 3)","(0, 2)",
1.0,0.9999,0.8618,0.8618,0.8463,0.5248,0.5201,0.5201,0.5201,0.5201,0.2037,0.1613,0.1613,0.1481,0.1404,0.1404,0.102,0.1019,0.1005,0.1004,
1.0,1.0,0.8648,0.8648,0.8445,0.5198,0.5146,0.5145,0.5145,0.5145,0.1922,0.1509,0.1509,0.1336,0.1271,0.1271,0.0879,0.0879,0.087,0.0869,
1.0,0.9998,0.8613,0.8613,0.8432,0.5252,0.5211,0.5211,0.5211,0.5211,0.2033,0.1593,0.1593,0.1435,0.1374,0.1374,0.098,0.098,0.0969,0.0968,
1.0,0.9997,0.8626,0.8626,0.8442,0.5229,0.5185,0.5185,0.5185,0.5185,0.1973,0.1541,0.1541,0.138,0.1303,0.1303,0.0926,0.0926,0.0914,0.0913,
1.0,1.0,0.8634,0.8634,0.8461,0.5254,0.5215,0.5215,0.5215,0.5215,0.2022,0.1603,0.1603,0.1425,0.1356,0.1356,0.098,0.098,0.0971,0.0969,
1.0,0.9997,0.8656,0.8656,0.847,0.526,0.5209,0.5209,0.5209,0.5209,0.201,0.1595,0.1595,0.147,0.1393,0.1393,0.1018,0.1018,0.1004,0.1003,
1.0,0.9998,0.8639,0.8639,0.8463,0.5255,0.52,0.52,0.52,0.52,0.2078,0.1671,0.1671,0.1515,0.1459,0.1459,0.1079,0.1079,0.1072,0.107,
1.0,1.0,0.865,0.865,0.849,0.5363,0.5314,0.5314,0.5314,0.5314,0.2146,0.1737,0.1737,0.1598,0.1523,0.1523,0.1159,0.1159,0.1139,0.1137,
1.0,0.9999,0.8666,0.8666,0.8469,0.5197,0.5153,0.5153,0.5153,0.5153,0.1967,0.1537,0.1537,0.139,0.1314,0.1314,0.0957,0.0957,0.0944,0.094,
1.0,0.9999,0.8597,0.8597,0.8422,0.5223,0.5179,0.5179,0.5179,0.5179,0.1995,0.1598,0.1598,0.1455,0.1393,0.1393,0.1022,0.1022,0.1012,0.101,
1.0,0.9999,0.8622,0.8622,0.842,0.5182,0.512,0.512,0.512,0.512,0.1959,0.1564,0.1564,0.1422,0.135,0.135,0.0943,0.0942,0.0929,0.0926,
1.0,0.9998,0.8637,0.8637,0.8447,0.5301,0.5267,0.5267,0.5267,0.5267,0.2158,0.1744,0.1744,0.1595,0.153,0.153,0.1195,0.1195,0.1185,0.1184,
1.0,0.9996,0.8579,0.8579,0.8386,0.5169,0.5114,0.5114,0.5114,0.5114,0.1857,0.1419,0.1419,0.1253,0.1182,0.1182,0.0819,0.0819,0.0795,0.0791,
1.0,0.9999,0.8677,0.8677,0.8498,0.528,0.5246,0.5246,0.5246,0.5246,0.2055,0.1636,0.1636,0.1498,0.1424,0.1424,0.1069,0.1069,0.1057,0.1054,
1.0,0.9998,0.8641,0.8641,0.8473,0.5236,0.5185,0.5184,0.5184,0.5184,0.202,0.1644,0.1644,0.1493,0.1428,0.1428,0.1041,0.1041,0.1028,0.1025,
1.0,0.9998,0.8651,0.8651,0.8487,0.5172,0.5133,0.5133,0.5133,0.5133,0.1941,0.1544,0.1544,0.1406,0.1336,0.1336,0.0968,0.0968,0.095,0.0945,
1.0,0.9999,0.8636,0.8636,0.8447,0.5177,0.5137,0.5137,0.5137,0.5137,0.1956,0.1543,0.1543,0.1399,0.1339,0.1339,0.0961,0.0961,0.0949,0.0947,
1.0,0.9998,0.8701,0.8701,0.8517,0.5343,0.5297,0.5297,0.5297,0.5297,0.2124,0.1706,0.1706,0.1554,0.1484,0.1484,0.1086,0.1086,0.1077,0.1077,
1.0,0.9998,0.8609,0.8609,0.8431,0.5272,0.5224,0.5224,0.5224,0.5224,0.2118,0.1657,0.1657,0.1496,0.1412,0.1412,0.1024,0.1024,0.1008,0.1008,
1.0,0.9997,0.8642,0.8642,0.8466,0.5242,0.5205,0.5203,0.5203,0.5203,0.2048,0.1593,0.1593,0.1444,0.138,0.138,0.1013,0.1013,0.0995,0.0992,
1.0,0.9999,0.8604,0.8604,0.8427,0.5167,0.5125,0.5125,0.5125,0.5125,0.1917,0.1495,0.1495,0.1349,0.128,0.128,0.0917,0.0916,0.0902,0.09,
1.0,0.9999,0.8593,0.8593,0.8417,0.5187,0.5145,0.5145,0.5145,0.5145,0.195,0.1559,0.1559,0.1388,0.1314,0.1314,0.0944,0.0943,0.093,0.093,
1.0,0.9997,0.8589,0.8589,0.8438,0.5327,0.528,0.528,0.528,0.528,0.2149,0.1751,0.1751,0.1597,0.1517,0.1517,0.1165,0.1165,0.1155,0.1154,
1.0,0.9999,0.8612,0.8612,0.8418,0.5213,0.5163,0.5162,0.5162,0.5162,0.197,0.1535,0.1535,0.1369,0.1301,0.1301,0.0931,0.0931,0.0914,0.0912,
1.0,0.9996,0.8585,0.8585,0.8395,0.5164,0.5131,0.5131,0.5131,0.5131,0.2008,0.162,0.162,0.1462,0.1382,0.1382,0.1024,0.1024,0.1007,0.1006,
